,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
156,170,800,0.1,0.145,0.155,0.12,0.145,0.115,0.18,0.065,0.115,0.125
157,180,800,0.14,0.125,0.105,0.1,0.2,0.15,0.22,0.09,0.075,0.105
158,190,800,0.145,0.115,0.125,0.12,0.19,0.08,0.115,0.105,0.155,0.185
159,200,800,0.13,0.205,0.115,0.115,0.07,0.165,0.12,0.12,0.13,0.105
160,10,900,0.3511111111111111,0.4311111111111111,0.4666666666666667,0.4,0.3288888888888889,0.3688888888888889,0.28444444444444444,0.4222222222222222,0.4266666666666667,0.37777777777777777
161,20,900,0.4266666666666667,0.36,0.18666666666666668,0.40444444444444444,0.17777777777777778,0.2222222222222222,0.29777777777777775,0.23555555555555555,0.39555555555555555,0.3111111111111111
162,30,900,0.2311111111111111,0.38666666666666666,0.3244444444444444,0.1688888888888889,0.2,0.24444444444444444,0.29333333333333333,0.32,0.28444444444444444,0.28888888888888886
163,40,900,0.2,0.18666666666666668,0.21333333333333335,0.3022222222222222,0.3288888888888889,0.17777777777777778,0.21777777777777776,0.25333333333333335,0.28444444444444444,0.39111111111111113
164,50,900,0.24444444444444444,0.21777777777777776,0.37333333333333335,0.12444444444444444,0.26666666666666666,0.17777777777777778,0.23555555555555555,0.2577777777777778,0.12,0.1688888888888889
165,60,900,0.27111111111111114,0.2311111111111111,0.19111111111111112,0.25333333333333335,0.14666666666666667,0.27111111111111114,0.2088888888888889,0.1288888888888889,0.12,0.21777777777777776
166,70,900,0.28,0.21777777777777776,0.3244444444444444,0.27555555555555555,0.20444444444444446,0.18222222222222223,0.29333333333333333,0.13333333333333333,0.3111111111111111,0.18222222222222223
167,80,900,0.12,0.25333333333333335,0.21333333333333335,0.2222222222222222,0.1111111111111111,0.13333333333333333,0.20444444444444446,0.08,0.36,0.1288888888888889
168,90,900,0.12,0.2088888888888889,0.27111111111111114,0.18222222222222223,0.15555555555555556,0.09333333333333334,0.1511111111111111,0.27555555555555555,0.27111111111111114,0.27555555555555555
169,100,900,0.16,0.20444444444444446,0.19111111111111112,0.12,0.27111111111111114,0.12,0.1688888888888889,0.25333333333333335,0.16444444444444445,0.14666666666666667
170,110,900,0.12,0.19555555555555557,0.18222222222222223,0.13333333333333333,0.1511111111111111,0.12444444444444444,0.1511111111111111,0.20444444444444446,0.1111111111111111,0.24
171,120,900,0.1688888888888889,0.14666666666666667,0.17333333333333334,0.27111111111111114,0.16444444444444445,0.18666666666666668,0.1288888888888889,0.11555555555555555,0.16,0.13333333333333333
172,130,900,0.3244444444444444,0.2,0.1111111111111111,0.14666666666666667,0.1288888888888889,0.17777777777777778,0.1688888888888889,0.10222222222222223,0.13333333333333333,0.17333333333333334
173,140,900,0.08888888888888889,0.1288888888888889,0.13777777777777778,0.10666666666666667,0.1111111111111111,0.09777777777777778,0.1688888888888889,0.12444444444444444,0.16444444444444445,0.16444444444444445
174,150,900,0.24444444444444444,0.13777777777777778,0.19555555555555557,0.17333333333333334,0.14222222222222222,0.1111111111111111,0.09777777777777778,0.10222222222222223,0.2,0.15555555555555556
175,160,900,0.10666666666666667,0.10666666666666667,0.1288888888888889,0.1111111111111111,0.1511111111111111,0.23555555555555555,0.14666666666666667,0.16444444444444445,0.12444444444444444,0.17333333333333334
176,170,900,0.14222222222222222,0.11555555555555555,0.1288888888888889,0.09333333333333334,0.16,0.18222222222222223,0.11555555555555555,0.14222222222222222,0.08888888888888889,0.08888888888888889
177,180,900,0.15555555555555556,0.14222222222222222,0.10666666666666667,0.08888888888888889,0.10222222222222223,0.1511111111111111,0.1111111111111111,0.09777777777777778,0.09333333333333334,0.09333333333333334
178,190,900,0.10666666666666667,0.12444444444444444,0.12444444444444444,0.08444444444444445,0.10666666666666667,0.19111111111111112,0.18222222222222223,0.12,0.09777777777777778,0.17333333333333334
179,200,900,0.19111111111111112,0.08888888888888889,0.1111111111111111,0.10666666666666667,0.14222222222222222,0.08888888888888889,0.09777777777777778,0.10666666666666667,0.12444444444444444,0.09333333333333334
180,10,1000,0.384,0.456,0.5,0.272,0.364,0.376,0.392,0.44,0.424,0.38
181,20,1000,0.396,0.352,0.352,0.412,0.392,0.332,0.364,0.42,0.304,0.22
182,30,1000,0.324,0.344,0.344,0.348,0.364,0.356,0.24,0.332,0.148,0.36
183,40,1000,0.172,0.308,0.264,0.252,0.264,0.164,0.12,0.208,0.168,0.152
184,50,1000,0.26,0.212,0.276,0.224,0.284,0.296,0.216,0.152,0.376,0.284
185,60,1000,0.148,0.216,0.18,0.18,0.34,0.332,0.124,0.136,0.24,0.408
186,70,1000,0.248,0.22,0.268,0.26,0.16,0.2,0.148,0.292,0.268,0.296
187,80,1000,0.136,0.128,0.14,0.208,0.144,0.112,0.212,0.128,0.172,0.208
188,90,1000,0.156,0.148,0.132,0.224,0.284,0.14,0.144,0.144,0.272,0.26
189,100,1000,0.12,0.204,0.192,0.264,0.12,0.2,0.212,0.152,0.172,0.28
190,110,1000,0.236,0.168,0.128,0.108,0.148,0.136,0.124,0.148,0.104,0.136
191,120,1000,0.124,0.148,0.14,0.168,0.176,0.224,0.092,0.1,0.128,0.124
192,130,1000,0.18,0.124,0.196,0.152,0.112,0.144,0.104,0.1,0.232,0.12
193,140,1000,0.188,0.224,0.144,0.172,0.128,0.108,0.172,0.076,0.192,0.096
194,150,1000,0.112,0.104,0.164,0.116,0.08,0.116,0.152,0.196,0.096,0.084
195,160,1000,0.1,0.12,0.076,0.12,0.136,0.08,0.112,0.1,0.168,0.136
196,170,1000,0.172,0.14,0.104,0.132,0.056,0.124,0.192,0.176,0.128,0.132
197,180,1000,0.1,0.152,0.096,0.22,0.144,0.124,0.108,0.068,0.1,0.092
198,190,1000,0.104,0.104,0.088,0.16,0.132,0.132,0.124,0.12,0.2,0.06
199,200,1000,0.104,0.104,0.188,0.128,0.192,0.12,0.184,0.144,0.112,0.116
200,10,1500,0.352,0.264,0.264,0.38666666666666666,0.2826666666666667,0.3893333333333333,0.35733333333333334,0.504,0.31733333333333336,0.39466666666666667
201,20,1500,0.30133333333333334,0.4053333333333333,0.288,0.33866666666666667,0.216,0.17333333333333334,0.45866666666666667,0.30666666666666664,0.3973333333333333,0.3626666666666667
202,30,1500,0.4106666666666667,0.2906666666666667,0.19466666666666665,0.312,0.34933333333333333,0.21866666666666668,0.344,0.36,0.336,0.31466666666666665
203,40,1500,0.20266666666666666,0.13333333333333333,0.2,0.2773333333333333,0.328,0.15466666666666667,0.304,0.18666666666666668,0.2693333333333333,0.25866666666666666
204,50,1500,0.256,0.17866666666666667,0.2773333333333333,0.216,0.32266666666666666,0.21333333333333335,0.288,0.256,0.27466666666666667,0.176
205,60,1500,0.17866666666666667,0.112,0.20533333333333334,0.26666666666666666,0.13866666666666666,0.09866666666666667,0.11466666666666667,0.2853333333333333,0.14933333333333335,0.3253333333333333
206,70,1500,0.112,0.2613333333333333,0.176,0.13333333333333333,0.20533333333333334,0.13866666666666666,0.16266666666666665,0.3546666666666667,0.20266666666666666,0.09333333333333334
207,80,1500,0.22133333333333333,0.14133333333333334,0.224,0.12266666666666666,0.192,0.18933333333333333,0.15733333333333333,0.25866666666666666,0.22666666666666666,0.14933333333333335
208,90,1500,0.12266666666666666,0.18933333333333333,0.128,0.29333333333333333,0.09333333333333334,0.19466666666666665,0.21866666666666668,0.23466666666666666,0.112,0.22933333333333333
209,100,1500,0.25866666666666666,0.16533333333333333,0.11466666666666667,0.13066666666666665,0.15733333333333333,0.144,0.25066666666666665,0.13333333333333333,0.112,0.14666666666666667
210,110,1500,0.152,0.16,0.12533333333333332,0.13333333333333333,0.232,0.13066666666666665,0.17066666666666666,0.25866666666666666,0.15733333333333333,0.10666666666666667
211,120,1500,0.104,0.176,0.12,0.15733333333333333,0.14666666666666667,0.12533333333333332,0.18666666666666668,0.208,0.15466666666666667,0.12533333333333332
212,130,1500,0.14666666666666667,0.22933333333333333,0.12533333333333332,0.112,0.20266666666666666,0.152,0.06666666666666667,0.18933333333333333,0.17066666666666666,0.14933333333333335
213,140,1500,0.12,0.10133333333333333,0.09066666666666667,0.13333333333333333,0.088,0.16266666666666665,0.17333333333333334,0.152,0.18666666666666668,0.2
214,150,1500,0.17866666666666667,0.15733333333333333,0.096,0.10666666666666667,0.16,0.144,0.10133333333333333,0.15466666666666667,0.17866666666666667,0.15733333333333333
215,160,1500,0.10666666666666667,0.10933333333333334,0.13333333333333333,0.12266666666666666,0.08533333333333333,0.18133333333333335,0.072,0.20266666666666666,0.112,0.12
216,170,1500,0.168,0.09066666666666667,0.09866666666666667,0.16,0.09866666666666667,0.12266666666666666,0.088,0.128,0.088,0.09333333333333334
217,180,1500,0.11733333333333333,0.10933333333333334,0.17066666666666666,0.144,0.15466666666666667,0.12266666666666666,0.112,0.128,0.08,0.10666666666666667
218,190,1500,0.136,0.14133333333333334,0.144,0.12,0.17866666666666667,0.17866666666666667,0.10666666666666667,0.11466666666666667,0.088,0.12533333333333332
219,200,1500,0.128,0.11733333333333333,0.21066666666666667,0.10133333333333333,0.184,0.08,0.12,0.10666666666666667,0.08533333333333333,0.19733333333333333
220,10,2000,0.474,0.348,0.272,0.41,0.342,0.454,0.42,0.358,0.42,0.392
