,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
289,100,300,0.25333333333333335,0.14666666666666667,0.24,0.16,0.22666666666666666,0.17333333333333334,0.10666666666666667,0.16,0.2,0.18666666666666668
290,110,300,0.13333333333333333,0.09333333333333334,0.12,0.08,0.09333333333333334,0.16,0.22666666666666666,0.16,0.17333333333333334,0.16
291,120,300,0.12,0.13333333333333333,0.06666666666666667,0.24,0.22666666666666666,0.10666666666666667,0.2,0.18666666666666668,0.10666666666666667,0.14666666666666667
292,130,300,0.2,0.21333333333333335,0.13333333333333333,0.16,0.17333333333333334,0.09333333333333334,0.08,0.14666666666666667,0.06666666666666667,0.25333333333333335
293,140,300,0.12,0.06666666666666667,0.12,0.17333333333333334,0.2,0.2,0.13333333333333333,0.13333333333333333,0.09333333333333334,0.12
294,150,300,0.16,0.17333333333333334,0.18666666666666668,0.17333333333333334,0.08,0.10666666666666667,0.10666666666666667,0.25333333333333335,0.08,0.06666666666666667
295,160,300,0.3466666666666667,0.16,0.06666666666666667,0.09333333333333334,0.22666666666666666,0.13333333333333333,0.08,0.12,0.09333333333333334,0.2
296,170,300,0.08,0.06666666666666667,0.21333333333333335,0.12,0.12,0.12,0.14666666666666667,0.2,0.10666666666666667,0.24
297,180,300,0.10666666666666667,0.2,0.09333333333333334,0.14666666666666667,0.16,0.14666666666666667,0.09333333333333334,0.17333333333333334,0.18666666666666668,0.16
298,190,300,0.12,0.09333333333333334,0.12,0.04,0.12,0.12,0.06666666666666667,0.14666666666666667,0.13333333333333333,0.14666666666666667
299,200,300,0.12,0.06666666666666667,0.10666666666666667,0.26666666666666666,0.08,0.10666666666666667,0.18666666666666668,0.16,0.09333333333333334,0.06666666666666667
300,10,320,0.3375,0.4125,0.3375,0.375,0.375,0.2375,0.35,0.35,0.4875,0.225
301,20,320,0.425,0.35,0.3125,0.4375,0.4125,0.2625,0.275,0.4125,0.25,0.1875
302,30,320,0.325,0.425,0.3125,0.2875,0.425,0.2,0.275,0.3125,0.3875,0.2125
303,40,320,0.2625,0.2375,0.275,0.3125,0.1125,0.2,0.2625,0.4,0.1875,0.3125
304,50,320,0.2,0.2875,0.25,0.15,0.2,0.2375,0.1375,0.1875,0.2875,0.15
305,60,320,0.2625,0.2375,0.225,0.25,0.225,0.225,0.2875,0.1625,0.2875,0.2125
306,70,320,0.2,0.2875,0.2,0.1625,0.2375,0.2625,0.1625,0.15,0.2375,0.125
307,80,320,0.15,0.0875,0.2,0.2125,0.175,0.1,0.075,0.1125,0.125,0.15
308,90,320,0.2625,0.1375,0.25,0.3875,0.1375,0.1125,0.125,0.175,0.175,0.125
309,100,320,0.15,0.2625,0.1625,0.0875,0.1625,0.2,0.1625,0.0875,0.2875,0.1125
310,110,320,0.2,0.175,0.3375,0.325,0.175,0.1875,0.2875,0.1875,0.175,0.175
311,120,320,0.15,0.125,0.25,0.1375,0.175,0.1875,0.25,0.225,0.1375,0.0625
312,130,320,0.1125,0.2375,0.1625,0.175,0.15,0.15,0.15,0.1625,0.1125,0.1625
313,140,320,0.1125,0.0875,0.175,0.1125,0.1,0.2125,0.15,0.125,0.125,0.25
314,150,320,0.1125,0.1875,0.2,0.1875,0.1125,0.1875,0.175,0.1875,0.1125,0.2
315,160,320,0.1125,0.125,0.125,0.0625,0.1375,0.0625,0.1,0.1,0.1625,0.1375
316,170,320,0.1,0.1,0.125,0.1625,0.1625,0.1125,0.0875,0.15,0.1375,0.1625
317,180,320,0.125,0.075,0.05,0.1375,0.1625,0.125,0.15,0.0875,0.075,0.1375
318,190,320,0.2375,0.1125,0.1375,0.15,0.125,0.1875,0.1625,0.125,0.1375,0.2
319,200,320,0.075,0.075,0.175,0.1125,0.125,0.15,0.0625,0.1375,0.1375,0.125
320,10,340,0.32941176470588235,0.4235294117647059,0.38823529411764707,0.12941176470588237,0.3176470588235294,0.4470588235294118,0.4,0.3764705882352941,0.29411764705882354,0.21176470588235294
321,20,340,0.43529411764705883,0.23529411764705882,0.38823529411764707,0.23529411764705882,0.2,0.15294117647058825,0.2823529411764706,0.15294117647058825,0.35294117647058826,0.2823529411764706
