,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
335,160,4500,0.08266666666666667,0.08,0.07644444444444444,0.07822222222222222,0.08533333333333333,0.0791111111111111,0.07111111111111111,0.07555555555555556,0.07466666666666667,0.096
336,170,4500,0.07288888888888889,0.0791111111111111,0.06311111111111112,0.06488888888888888,0.0791111111111111,0.08,0.07644444444444444,0.088,0.08711111111111111,0.06933333333333333
337,180,4500,0.08888888888888889,0.072,0.06933333333333333,0.08444444444444445,0.0791111111111111,0.064,0.07822222222222222,0.08,0.07288888888888889,0.08355555555555555
338,190,4500,0.08355555555555555,0.08444444444444445,0.08088888888888889,0.08444444444444445,0.064,0.08533333333333333,0.07555555555555556,0.08622222222222223,0.07466666666666667,0.08977777777777778
339,200,4500,0.06844444444444445,0.08711111111111111,0.07466666666666667,0.07733333333333334,0.07466666666666667,0.07644444444444444,0.07022222222222223,0.07288888888888889,0.07466666666666667,0.06844444444444445
340,10,5000,0.1312,0.132,0.1312,0.1136,0.1264,0.1168,0.128,0.1192,0.1192,0.1208
341,20,5000,0.1296,0.1112,0.12,0.1512,0.1088,0.1248,0.1224,0.1424,0.1224,0.1288
342,30,5000,0.1232,0.1344,0.1232,0.1216,0.1168,0.1192,0.128,0.1192,0.1248,0.12
343,40,5000,0.1104,0.12,0.1152,0.12,0.0912,0.1168,0.1184,0.1272,0.1008,0.128
344,50,5000,0.1104,0.1136,0.1168,0.1088,0.1072,0.1072,0.1256,0.1032,0.1128,0.1096
345,60,5000,0.0952,0.0912,0.0944,0.0992,0.1048,0.0864,0.104,0.1064,0.108,0.092
346,70,5000,0.1072,0.1072,0.0944,0.0864,0.0968,0.0888,0.1048,0.0872,0.1032,0.0992
347,80,5000,0.0808,0.1008,0.0888,0.1016,0.1048,0.088,0.1008,0.108,0.104,0.0936
348,90,5000,0.096,0.0912,0.0976,0.096,0.0968,0.0848,0.0824,0.0928,0.096,0.0816
349,100,5000,0.0888,0.1008,0.0864,0.08,0.088,0.1056,0.1072,0.0776,0.0976,0.1016
350,110,5000,0.0968,0.0992,0.0688,0.0872,0.0832,0.0792,0.092,0.0992,0.0952,0.0968
351,120,5000,0.0864,0.088,0.0888,0.1056,0.084,0.0904,0.0912,0.0872,0.0984,0.0864
352,130,5000,0.092,0.0832,0.088,0.088,0.0784,0.0776,0.0808,0.0864,0.0952,0.0808
353,140,5000,0.0936,0.0752,0.0896,0.0792,0.08,0.0832,0.0856,0.092,0.0736,0.0744
354,150,5000,0.0864,0.0872,0.072,0.0896,0.0816,0.0792,0.0888,0.0776,0.0848,0.0776
355,160,5000,0.0664,0.0736,0.0824,0.0824,0.08,0.0752,0.0736,0.0752,0.0792,0.0704
356,170,5000,0.08,0.0832,0.0872,0.0776,0.0736,0.0832,0.0752,0.088,0.0904,0.0872
357,180,5000,0.0912,0.068,0.0696,0.0848,0.0832,0.0704,0.068,0.0856,0.0744,0.0648
358,190,5000,0.0744,0.068,0.0848,0.0888,0.0784,0.0856,0.0744,0.0704,0.0872,0.0856
359,200,5000,0.0808,0.088,0.0752,0.0704,0.0776,0.08,0.0704,0.0768,0.0776,0.0672
360,10,5500,0.12581818181818183,0.13236363636363635,0.12509090909090909,0.12581818181818183,0.13454545454545455,0.13236363636363635,0.12145454545454545,0.12727272727272726,0.1389090909090909,0.12872727272727272
361,20,5500,0.12654545454545454,0.13090909090909092,0.12072727272727272,0.12727272727272726,0.10618181818181818,0.10836363636363637,0.13454545454545455,0.11927272727272727,0.12363636363636364,0.13672727272727273
362,30,5500,0.12872727272727272,0.13745454545454547,0.09672727272727273,0.12509090909090909,0.12218181818181818,0.1149090909090909,0.13163636363636363,0.10690909090909091,0.11781818181818182,0.12872727272727272
363,40,5500,0.128,0.08872727272727272,0.10763636363636364,0.12218181818181818,0.10836363636363637,0.112,0.10036363636363636,0.128,0.12218181818181818,0.12654545454545454
364,50,5500,0.11345454545454546,0.10836363636363637,0.10472727272727272,0.0989090909090909,0.10327272727272727,0.11272727272727273,0.11054545454545454,0.11781818181818182,0.11927272727272727,0.11345454545454546
365,60,5500,0.09963636363636363,0.112,0.104,0.12,0.096,0.11563636363636363,0.10618181818181818,0.09672727272727273,0.11418181818181818,0.10181818181818182
366,70,5500,0.08945454545454545,0.088,0.09745454545454546,0.09745454545454546,0.08945454545454545,0.10109090909090909,0.09381818181818181,0.096,0.0989090909090909,0.09309090909090909
367,80,5500,0.09818181818181818,0.08581818181818182,0.0829090909090909,0.10763636363636364,0.09454545454545454,0.10327272727272727,0.10327272727272727,0.104,0.09527272727272727,0.09163636363636364
368,90,5500,0.10472727272727272,0.0989090909090909,0.07490909090909091,0.10327272727272727,0.09090909090909091,0.08727272727272728,0.08509090909090909,0.08581818181818182,0.09818181818181818,0.10327272727272727
