,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
266,70,3000,0.10133333333333333,0.10133333333333333,0.11333333333333333,0.092,0.10533333333333333,0.092,0.112,0.11333333333333333,0.09333333333333334,0.10133333333333333
267,80,3000,0.08666666666666667,0.10666666666666667,0.08933333333333333,0.10933333333333334,0.09866666666666667,0.096,0.10933333333333334,0.09333333333333334,0.09333333333333334,0.09733333333333333
268,90,3000,0.116,0.104,0.1,0.09733333333333333,0.09333333333333334,0.08266666666666667,0.09066666666666667,0.09466666666666666,0.09466666666666666,0.09733333333333333
269,100,3000,0.08933333333333333,0.092,0.09466666666666666,0.11333333333333333,0.09466666666666666,0.104,0.10933333333333334,0.084,0.09866666666666667,0.108
270,110,3000,0.092,0.096,0.11733333333333333,0.08933333333333333,0.09866666666666667,0.11466666666666667,0.07733333333333334,0.096,0.08933333333333333,0.10266666666666667
271,120,3000,0.108,0.104,0.104,0.07733333333333334,0.07333333333333333,0.084,0.112,0.108,0.10133333333333333,0.092
272,130,3000,0.084,0.08666666666666667,0.07466666666666667,0.084,0.1,0.092,0.076,0.08,0.08533333333333333,0.084
273,140,3000,0.07333333333333333,0.076,0.092,0.06533333333333333,0.07333333333333333,0.09333333333333334,0.1,0.072,0.07333333333333333,0.08666666666666667
274,150,3000,0.07866666666666666,0.07866666666666666,0.10266666666666667,0.08,0.1,0.06933333333333333,0.07733333333333334,0.068,0.08,0.09066666666666667
275,160,3000,0.08933333333333333,0.08666666666666667,0.07066666666666667,0.076,0.07066666666666667,0.08,0.08,0.07466666666666667,0.07866666666666666,0.06666666666666667
276,170,3000,0.08133333333333333,0.08533333333333333,0.08533333333333333,0.07866666666666666,0.09333333333333334,0.08,0.08266666666666667,0.07866666666666666,0.068,0.07333333333333333
277,180,3000,0.07733333333333334,0.08533333333333333,0.06266666666666666,0.07066666666666667,0.08266666666666667,0.09066666666666667,0.096,0.08933333333333333,0.088,0.068
278,190,3000,0.07466666666666667,0.08266666666666667,0.076,0.08266666666666667,0.08266666666666667,0.068,0.07733333333333334,0.08133333333333333,0.08,0.07466666666666667
279,200,3000,0.08133333333333333,0.07466666666666667,0.058666666666666666,0.08933333333333333,0.09066666666666667,0.088,0.058666666666666666,0.08,0.076,0.07866666666666666
280,10,3500,0.12228571428571429,0.12914285714285714,0.13142857142857142,0.10742857142857143,0.11771428571428572,0.11542857142857142,0.14285714285714285,0.12914285714285714,0.10742857142857143,0.11771428571428572
281,20,3500,0.13028571428571428,0.12685714285714286,0.12914285714285714,0.136,0.12114285714285715,0.14057142857142857,0.12,0.12914285714285714,0.128,0.11771428571428572
282,30,3500,0.12571428571428572,0.13257142857142856,0.10285714285714286,0.11885714285714286,0.11428571428571428,0.12571428571428572,0.128,0.11885714285714286,0.12228571428571429,0.09828571428571428
283,40,3500,0.11771428571428572,0.11428571428571428,0.10742857142857143,0.11085714285714286,0.12457142857142857,0.12914285714285714,0.11885714285714286,0.10057142857142858,0.10857142857142857,0.10285714285714286
284,50,3500,0.10285714285714286,0.09942857142857142,0.096,0.10171428571428572,0.112,0.11885714285714286,0.10742857142857143,0.09942857142857142,0.09257142857142857,0.10971428571428571
285,60,3500,0.10514285714285715,0.09485714285714286,0.11428571428571428,0.13028571428571428,0.11085714285714286,0.09485714285714286,0.10857142857142857,0.088,0.10285714285714286,0.11771428571428572
286,70,3500,0.10628571428571429,0.09142857142857143,0.09257142857142857,0.112,0.10171428571428572,0.088,0.09485714285714286,0.096,0.10285714285714286,0.08914285714285715
287,80,3500,0.09942857142857142,0.09142857142857143,0.11885714285714286,0.09485714285714286,0.11657142857142858,0.08114285714285714,0.10057142857142858,0.09485714285714286,0.09828571428571428,0.11314285714285714
288,90,3500,0.10285714285714286,0.10285714285714286,0.09142857142857143,0.10171428571428572,0.11428571428571428,0.10171428571428572,0.112,0.10285714285714286,0.10857142857142857,0.08571428571428572
289,100,3500,0.09828571428571428,0.07885714285714286,0.10057142857142858,0.09257142857142857,0.08114285714285714,0.09485714285714286,0.08,0.10171428571428572,0.10171428571428572,0.10857142857142857
290,110,3500,0.09485714285714286,0.09828571428571428,0.096,0.096,0.08914285714285715,0.08114285714285714,0.08457142857142858,0.10057142857142858,0.09257142857142857,0.09714285714285714
291,120,3500,0.09028571428571429,0.08571428571428572,0.09942857142857142,0.088,0.10057142857142858,0.09714285714285714,0.088,0.08914285714285715,0.08114285714285714,0.08342857142857144
292,130,3500,0.08114285714285714,0.10742857142857143,0.08457142857142858,0.09257142857142857,0.10285714285714286,0.072,0.09257142857142857,0.08571428571428572,0.09828571428571428,0.08228571428571428
293,140,3500,0.06628571428571428,0.08457142857142858,0.09257142857142857,0.07771428571428571,0.07885714285714286,0.09485714285714286,0.08228571428571428,0.08457142857142858,0.06514285714285714,0.09828571428571428
294,150,3500,0.07885714285714286,0.06742857142857143,0.07771428571428571,0.07428571428571429,0.10285714285714286,0.104,0.07428571428571429,0.08,0.10171428571428572,0.09714285714285714
295,160,3500,0.08914285714285715,0.07885714285714286,0.08228571428571428,0.07771428571428571,0.07085714285714285,0.08114285714285714,0.088,0.07428571428571429,0.07314285714285715,0.09142857142857143
296,170,3500,0.07542857142857143,0.08,0.064,0.08342857142857144,0.08228571428571428,0.08571428571428572,0.08228571428571428,0.08457142857142858,0.08114285714285714,0.07542857142857143
297,180,3500,0.07428571428571429,0.07314285714285715,0.060571428571428575,0.07885714285714286,0.06857142857142857,0.09142857142857143,0.07085714285714285,0.08457142857142858,0.08342857142857144,0.07771428571428571
298,190,3500,0.07885714285714286,0.07657142857142857,0.08571428571428572,0.08685714285714285,0.07657142857142857,0.07771428571428571,0.07085714285714285,0.07428571428571429,0.061714285714285715,0.07542857142857143
299,200,3500,0.08114285714285714,0.08228571428571428,0.08914285714285715,0.07085714285714285,0.07542857142857143,0.08457142857142858,0.06742857142857143,0.072,0.07542857142857143,0.07542857142857143
300,10,4000,0.135,0.132,0.132,0.139,0.129,0.141,0.13,0.128,0.129,0.128
301,20,4000,0.124,0.114,0.115,0.113,0.14,0.12,0.115,0.116,0.121,0.127
302,30,4000,0.134,0.118,0.108,0.112,0.114,0.129,0.118,0.124,0.117,0.111
303,40,4000,0.121,0.121,0.108,0.109,0.131,0.113,0.1,0.116,0.102,0.109
304,50,4000,0.114,0.106,0.104,0.117,0.095,0.097,0.104,0.104,0.111,0.109
305,60,4000,0.101,0.107,0.116,0.111,0.108,0.104,0.109,0.116,0.101,0.1
306,70,4000,0.101,0.113,0.122,0.097,0.101,0.101,0.098,0.104,0.091,0.119
307,80,4000,0.094,0.101,0.091,0.108,0.095,0.109,0.084,0.103,0.099,0.104
308,90,4000,0.096,0.108,0.108,0.101,0.093,0.091,0.101,0.121,0.101,0.103
309,100,4000,0.109,0.104,0.085,0.091,0.099,0.085,0.105,0.111,0.099,0.108
310,110,4000,0.109,0.11,0.099,0.109,0.098,0.104,0.082,0.106,0.109,0.091
311,120,4000,0.084,0.113,0.095,0.103,0.098,0.087,0.103,0.093,0.1,0.089
312,130,4000,0.072,0.086,0.098,0.09,0.082,0.075,0.081,0.083,0.104,0.086
313,140,4000,0.087,0.096,0.091,0.093,0.102,0.095,0.097,0.073,0.09,0.087
314,150,4000,0.091,0.084,0.085,0.094,0.085,0.099,0.101,0.092,0.08,0.082
315,160,4000,0.074,0.1,0.083,0.082,0.079,0.086,0.079,0.089,0.074,0.087
316,170,4000,0.083,0.072,0.072,0.079,0.078,0.082,0.092,0.091,0.085,0.077
317,180,4000,0.087,0.086,0.059,0.078,0.076,0.077,0.08,0.081,0.084,0.081
318,190,4000,0.088,0.077,0.075,0.07,0.077,0.085,0.088,0.055,0.083,0.09
319,200,4000,0.088,0.09,0.074,0.093,0.074,0.085,0.079,0.099,0.094,0.078
320,10,4500,0.128,0.13155555555555556,0.11288888888888889,0.14222222222222222,0.13155555555555556,0.11466666666666667,0.13777777777777778,0.11822222222222223,0.14133333333333334,0.13066666666666665
321,20,4500,0.12622222222222224,0.12088888888888889,0.11466666666666667,0.15733333333333333,0.12711111111111112,0.12533333333333332,0.12177777777777778,0.12355555555555556,0.13333333333333333,0.12088888888888889
322,30,4500,0.12444444444444444,0.11555555555555555,0.12977777777777777,0.11555555555555555,0.11377777777777778,0.11911111111111111,0.11288888888888889,0.12,0.10933333333333334,0.12711111111111112
323,40,4500,0.12,0.13155555555555556,0.11288888888888889,0.10044444444444445,0.10666666666666667,0.12266666666666666,0.12,0.12266666666666666,0.10666666666666667,0.10666666666666667
324,50,4500,0.0951111111111111,0.08711111111111111,0.11733333333333333,0.10133333333333333,0.112,0.09866666666666667,0.12177777777777778,0.10488888888888889,0.12533333333333332,0.09333333333333334
325,60,4500,0.10844444444444444,0.10577777777777778,0.11288888888888889,0.11555555555555555,0.09333333333333334,0.09955555555555555,0.10666666666666667,0.10488888888888889,0.10488888888888889,0.09955555555555555
326,70,4500,0.08711111111111111,0.10311111111111111,0.104,0.10311111111111111,0.10133333333333333,0.09955555555555555,0.09955555555555555,0.10933333333333334,0.10666666666666667,0.10666666666666667
327,80,4500,0.10222222222222223,0.08888888888888889,0.09155555555555556,0.09422222222222222,0.08977777777777778,0.11022222222222222,0.09422222222222222,0.112,0.09777777777777778,0.10133333333333333
328,90,4500,0.10044444444444445,0.10666666666666667,0.11555555555555555,0.09155555555555556,0.104,0.10844444444444444,0.096,0.10488888888888889,0.10755555555555556,0.08977777777777778
329,100,4500,0.08533333333333333,0.09866666666666667,0.08266666666666667,0.0951111111111111,0.10933333333333334,0.09688888888888889,0.09244444444444444,0.10044444444444445,0.09866666666666667,0.10666666666666667
330,110,4500,0.09155555555555556,0.08977777777777778,0.09155555555555556,0.09244444444444444,0.0951111111111111,0.10222222222222223,0.08977777777777778,0.09866666666666667,0.10044444444444445,0.09688888888888889
331,120,4500,0.09333333333333334,0.09955555555555555,0.10488888888888889,0.10222222222222223,0.08888888888888889,0.088,0.09066666666666667,0.08266666666666667,0.11022222222222222,0.10311111111111111
332,130,4500,0.09866666666666667,0.09155555555555556,0.10133333333333333,0.08888888888888889,0.07466666666666667,0.08711111111111111,0.08888888888888889,0.09333333333333334,0.08711111111111111,0.10933333333333334
333,140,4500,0.10488888888888889,0.09688888888888889,0.07733333333333334,0.09422222222222222,0.08711111111111111,0.07466666666666667,0.08177777777777778,0.08355555555555555,0.09244444444444444,0.08355555555555555
334,150,4500,0.09244444444444444,0.07822222222222222,0.08888888888888889,0.08977777777777778,0.07111111111111111,0.096,0.08444444444444445,0.08888888888888889,0.07288888888888889,0.08444444444444445
